epoch,memory-free
1655651103,335367759906.92487
1655651104,335470730098.06085
1655651105,335570127084.7449
1655651106,335665869857.2505
1655651107,335757877405.85156
1655651108,335846068720.82166
1655651109,335930362792.4346
1655651110,336010678610.9638
1655651111,336086935166.6831
1655651112,336159051449.866
1655651113,336226954868.68695
1655651114,336290606502.9213
1655651115,336349975850.2458
1655651116,336405032408.3362
1655651117,336455749094.3852
1655651118,336502112503.64954
1655651119,336544112650.9022
1655651120,336581739550.91614
1655651121,336614983218.4645
1655651122,336643833668.32
1655651123,336668280915.2559
1655651124,336688314974.0452
1655651125,336703925859.46075
1655651126,336715103586.2755
1655651127,336721838169.26263
1655651128,336724119623.195
1655651129,336721937962.8456
1655651130,336715283202.9874
1655651131,336704145358.39355
1655651132,336688514443.83673
1655651133,336668380474.09045
1655651134,336643733463.9271
1655651135,336614563428.1202
1655651136,336580860381.44244
1655651137,336542614338.6668
1655651138,336499815314.5663
1655651139,336452452146.7755
1655651140,336400508383.8203
1655651141,336343964074.8699
1655651142,336282798688.5387
1655651143,336216991693.44086
1655651144,336146522558.19147
1655651145,336071370751.4049
1655651146,335991515741.6954
1655651147,335906936997.67773
1655651148,335817613987.9663
1655651149,335723526181.1756
1655651150,335624653045.92017
1655651151,335520974050.8145
1655651152,335412472261.1075
1655651153,335299145128.58484
1655651154,335180993701.6668
1655651155,335058019028.7732
1655651156,334930222158.3243
1655651157,334797604138.74023
1655651158,334660166018.441
1655651159,334517908845.84644
1655651160,334370833669.3771
1655651161,334218941537.4527
1655651162,334062233498.49365
1655651163,333900710600.9197
1655651164,333734373893.1512
1655651165,333563224423.60803
1655651166,333387263240.71045
1655651167,333206491392.87854
1655651168,333020909928.53217
1655651169,332830519896.0916
1655651170,332635322343.977
1655651171,332435318320.6082
1655651172,332230508874.4056
1655651173,332020895053.78894
1655651174,331806477907.1785
1655651175,331587276371.08655
1655651176,331363380934.39294
1655651177,331134899974.0701
1655651179,330901941867.09015
1655651180,330664614990.42535
1655651181,330423027721.048
1655651182,330177288435.93005
1655651183,329927505512.0439
1655651184,329673790316.1587
1655651185,329416266174.23145
1655651186,329155059402.016
1655651187,328890296315.26624
1655651188,328622103229.736
1655651189,328350606461.1795
1655651190,328075932325.35034
1655651191,327798207138.0026
1655651192,327517557214.89014
1655651193,327234108871.7669
1655651194,326947988424.38666
1655651195,326659322188.5036
1655651196,326368238907.7884
1655651197,326074878840.11005
1655651198,325779391881.3764
1655651199,325481929730.02545
1655651200,325182644084.4953
1655651201,324881686643.224
1655651202,324579209104.64966
1655651203,324275363167.21014
1655651204,323970300529.3437
1655651205,323664172889.48834
1655651206,323357131946.0823
1655651207,323049329397.5634
1655651208,322740916942.36975
1655651209,322432046278.9396
1655651210,322122869105.71075
1655651211,321813537121.1214
