epoch,if_octets_rx
1656293034,640729789159.5
1656293035,640731288705.0
1656293036,640732788250.5
1656293037,640734287795.5
1656293038,640735787341.0
1656293039,640737286886.5
1656293040,640738786432.0
1656293041,640740285977.0
1656293042,640741785522.5
1656293043,640743285068.0
1656293044,640744784613.0
1656293045,640746284158.5
1656293046,640747783704.0
1656293047,640749283249.0
1656293048,640750782794.5
1656293049,640752282340.0
1656293050,640753781885.5
1656293051,640755281430.5
1656293052,640756780976.0
1656293053,640758280521.5
1656293054,640759780066.5
1656293055,640761279612.0
1656293056,640762779157.5
1656293057,640764278703.0
1656293058,640765778248.0
1656293059,640767277793.5
1656293060,640768777339.0
1656293061,640770276884.0
1656293062,640771776429.5
1656293063,640773275975.0
1656293064,640774775520.0
1656293065,640776275065.5
1656293066,640777774611.0
1656293067,640779274156.5
1656293068,640780773701.5
1656293069,640782273247.0
1656293070,640783772792.5
1656293071,640785272337.5
1656293072,640786771883.0
1656293073,640788271428.5
1656293074,640789770973.5
1656293075,640791270519.0
1656293076,640792770064.5
1656293077,640794269610.0
1656293078,640795769155.0
1656293079,640797268700.5
1656293080,640798768246.0
1656293081,640800267791.0
1656293082,640801767336.5
1656293083,640803266882.0
1656293084,640804766427.0
1656293085,640806265972.5
1656293086,640807765518.0
1656293087,640809265063.5
1656293088,640810764608.5
1656293089,640812264154.0
1656293090,640813763699.5
1656293091,640815263244.5
1656293092,640816762790.0
1656293093,640818262335.5
1656293094,640819761881.0
1656293095,640821261426.0
1656293096,640822760971.5
1656293097,640824260517.0
1656293098,640825760062.0
1656293099,640827259607.5
1656293100,640828759153.0
1656293101,640830258698.0
1656293102,640831758243.5
1656293103,640833257789.0
1656293104,640834757334.5
1656293105,640836256879.5
1656293106,640837756425.0
1656293107,640839255970.5
1656293108,640840755515.5
1656293109,640842255061.0
1656293110,640843754606.5
1656293111,640845254151.5
1656293112,640846753697.0
1656293113,640848253242.5
1656293114,640849752788.0
1656293115,640851252333.0
1656293116,640852751878.5
1656293117,640854251424.0
1656293118,640855750969.0
1656293119,640857250514.5
1656293120,640858750060.0
1656293121,640860249605.5
1656293122,640861749150.5
1656293123,640863248696.0
1656293124,640864748241.5
1656293125,640866247786.5
1656293126,640867747332.0
1656293127,640869246877.5
1656293128,640870746422.5
1656293129,640872245968.0
1656293130,640873745513.5
1656293131,640875245059.0
1656293132,640876744604.0
1656293133,640878244149.5
1656293134,640879743695.0
1656293135,640881243240.0
