epoch,if_dropped_tx
1656293034,105.0
1656293035,105.0
1656293036,105.0
1656293037,167.9663930028272
1656293038,167.9663930028272
1656293039,167.9663930028272
1656293040,167.9663930028272
1656293041,167.9663930028272
1656293042,167.9663930028272
1656293043,167.9663930028272
1656293044,167.9663930028272
1656293045,167.9663930028272
1656293046,167.9663930028272
1656293047,167.9663930028272
1656293048,167.9663930028272
1656293049,167.9663930028272
1656293050,167.9663930028272
1656293051,167.9663930028272
1656293052,167.9663930028272
1656293053,167.9663930028272
1656293054,167.9663930028272
1656293055,167.9663930028272
1656293056,167.9663930028272
1656293057,167.9663930028272
1656293058,167.9663930028272
1656293059,167.9663930028272
1656293060,167.9663930028272
1656293061,167.9663930028272
1656293062,167.9663930028272
1656293063,167.9663930028272
1656293064,167.9663930028272
1656293065,167.9663930028272
1656293066,167.9663930028272
1656293067,167.9663930028272
1656293068,167.9663930028272
1656293069,167.9663930028272
1656293070,167.9663930028272
1656293071,167.9663930028272
1656293072,167.9663930028272
1656293073,167.9663930028272
1656293074,167.9663930028272
1656293075,167.9663930028272
1656293076,167.9663930028272
1656293077,167.9663930028272
1656293078,167.9663930028272
1656293079,167.9663930028272
1656293080,167.9663930028272
1656293081,167.9663930028272
1656293082,167.9663930028272
1656293083,167.9663930028272
1656293084,167.9663930028272
1656293085,167.9663930028272
1656293086,167.9663930028272
1656293087,167.9663930028272
1656293088,167.9663930028272
1656293089,167.9663930028272
1656293090,167.9663930028272
1656293091,167.9663930028272
1656293092,167.9663930028272
1656293093,167.9663930028272
1656293094,167.9663930028272
1656293095,167.9663930028272
1656293096,167.9663930028272
1656293097,167.9663930028272
1656293098,167.9663930028272
1656293099,167.9663930028272
1656293100,167.9663930028272
1656293101,167.9663930028272
1656293102,167.9663930028272
1656293103,167.9663930028272
1656293104,167.9663930028272
1656293105,167.9663930028272
1656293106,167.9663930028272
1656293107,167.9663930028272
1656293108,167.9663930028272
1656293109,167.9663930028272
1656293110,167.9663930028272
1656293111,167.9663930028272
1656293112,167.9663930028272
1656293113,167.9663930028272
1656293114,167.9663930028272
1656293115,167.9663930028272
1656293116,167.9663930028272
1656293117,167.9663930028272
1656293118,167.9663930028272
1656293119,167.9663930028272
1656293120,167.9663930028272
1656293121,167.9663930028272
1656293122,167.9663930028272
1656293123,167.9663930028272
1656293124,167.9663930028272
1656293125,167.9663930028272
1656293126,167.9663930028272
1656293127,167.9663930028272
1656293128,167.9663930028272
1656293129,167.9663930028272
1656293130,167.9663930028272
1656293131,167.9663930028272
1656293132,167.9663930028272
1656293133,167.9663930028272
1656293134,167.9663930028272
1656293135,167.9663930028272
1656293136,167.9663930028272
1656293137,167.9663930028272
1656293138,167.9663930028272
1656293139,167.9663930028272
1656293140,167.9663930028272
1656293141,167.9663930028272
1656293142,167.9663930028272
1656293143,167.9663930028272
1656293144,167.9663930028272
1656293145,167.9663930028272
1656293146,167.9663930028272
1656293147,167.9663930028272
1656293148,167.9663930028272
1656293149,167.9663930028272
1656293150,167.9663930028272
1656293151,167.9663930028272
1656293152,167.9663930028272
1656293153,167.9663930028272
1656293154,167.9663930028272
1656293155,167.9663930028272
1656293156,167.9663930028272
1656293157,167.9663930028272
1656293158,167.9663930028272
1656293159,167.9663930028272
1656293160,167.9663930028272
1656293161,167.9663930028272
1656293162,167.9663930028272
1656293163,167.9663930028272
1656293164,167.9663930028272
1656293165,167.9663930028272
1656293166,167.9663930028272
1656293167,167.9663930028272
1656293168,167.9663930028272
1656293169,167.9663930028272
1656293170,167.9663930028272
1656293171,167.9663930028272
1656293172,167.9663930028272
1656293173,167.9663930028272
1656293174,167.9663930028272
1656293175,167.9663930028272
1656293176,167.9663930028272
1656293177,167.9663930028272
1656293178,167.9663930028272
1656293179,167.9663930028272
1656293180,167.9663930028272
1656293181,167.9663930028272
1656293182,167.9663930028272
1656293183,167.9663930028272
1656293184,167.9663930028272
1656293185,167.9663930028272
1656293186,167.9663930028272
1656293187,167.9663930028272
1656293188,167.9663930028272
1656293189,167.9663930028272
1656293190,167.9663930028272
1656293191,167.9663930028272
