epoch,percent-idle
1656293029,2968.7347344183245
1656293030,2976.3116872197015
1656293031,2984.45463279213
1656293032,2993.162994161346
1656293033,3002.4344214589873
1656293034,3012.259473240296
1656293035,3022.626935166413
1656293036,3033.5255928984875
1656293037,3044.9442320976564
1656293038,3056.8716384250674
1656293039,3069.29659754186
1656293040,3082.20789510918
1656293041,3095.5943167881705
1656293042,3109.4446482399735
1656293043,3123.747675125732
1656293044,3138.49218310659
1656293045,3153.6669578436904
1656293046,3169.260784998176
1656293047,3185.2624502311915
1656293048,3201.6607392038777
1656293049,3218.444437577381
1656293050,3235.602331012841
1656293051,3253.1232051714023
1656293052,3270.9958457142084
1656293053,3289.209038302405
1656293054,3307.7515685971284
1656293055,3326.61222225953
1656293056,3345.7797849507474
1656293057,3365.2430423319256
1656293058,3384.9907800642063
1656293059,3405.011783808736
1656293060,3425.294839226655
1656293061,3445.828731979108
1656293062,3466.6022477272354
1656293063,3487.604172132185
1656293064,3508.823290855096
1656293065,3530.248389557115
1656293066,3551.8682538993817
1656293067,3573.671669543041
1656293068,3595.6474221492363
1656293069,3617.7842973791094
1656293070,3640.0710808938047
1656293071,3662.496558354467
1656293072,3685.049515422236
1656293073,3707.7187377582577
1656293074,3730.493011023673
1656293075,3753.3611208796256
1656293076,3776.311852987262
1656293077,3799.333993007721
1656293078,3822.4163266021474
1656293079,3845.547639431684
1656293080,3868.7167171574756
1656293081,3891.9123454406626
1656293082,3915.1233099423916
1656293083,3938.338396323803
1656293084,3961.5463118501816
1656293085,3984.737194361991
1656293086,4007.9080799383128
1656293087,4031.0577488168483
1656293088,4054.1849812352993
1656293089,4077.2880671193216
1656293090,4100.363335146394
1656293091,4123.406623681951
1656293092,4146.413771091422
1656293093,4169.380615740245
1656293094,4192.302995993854
1656293095,4215.176750217677
1656293096,4237.997716777152
1656293097,4260.761734037709
1656293098,4283.464640364786
1656293099,4306.102274123814
1656293100,4328.670473680225
1656293101,4351.165077399456
1656293102,4373.581923646938
1656293103,4395.916850788104
1656293104,4418.16569718839
1656293105,4440.32430121323
1656293106,4462.388501228052
1656293107,4484.354135598296
1656293108,4506.21704268939
1656293109,4527.971794631052
1656293110,4549.607898610111
1656293111,4571.11359557768
1656293112,4592.477126484872
1656293113,4613.686732282799
1656293114,4634.730653922572
1656293115,4655.597132355302
1656293116,4676.274408532106
1656293117,4696.750723404088
1656293118,4717.014317922369
1656293119,4737.053433038055
1656293120,4756.85630970226
1656293121,4776.411188866097
1656293122,4795.706311480678
1656293123,4814.7299184971125
1656293124,4833.470250866518
1656293125,4851.915549539998
1656293126,4870.054055468673
1656293127,4887.876109727007
1656293128,4905.3804538829045
1656293129,4922.567929627628
1656293130,4939.439378652427
1656293131,4955.995642648569
1656293132,4972.237563307309
1656293133,4988.165982319907
1656293134,5003.781741377625
1656293135,5019.08568217172
1656293136,5034.078646393451
1656293137,5048.762147763174
1656293138,5063.140208203692
1656293139,5077.216084398584
1656293140,5090.988576718803
1656293141,5104.45014412823
1656293142,5117.591839642097
1656293143,5130.404716275637
1656293144,5142.8798270440875
1656293145,5155.008224962678
1656293146,5166.780963046647
1656293147,5178.189094311224
1656293148,5189.22367177165
1656293149,5199.875748443152
1656293150,5210.136377340969
1656293151,5219.996611480336
1656293152,5229.447503876482
1656293153,5238.480107544646
1656293154,5247.085475500061
1656293155,5255.25466075796
1656293156,5262.978716333579
1656293157,5270.248695242151
1656293158,5277.055650498912
1656293159,5283.390635119092
1656293160,5289.2447021179305
1656293161,5294.608904510659
1656293162,5299.474295312511
1656293163,5303.831927538722
1656293164,5307.6728542045275
1656293165,5310.988128325159
1656293166,5313.768802915853
1656293167,5316.005930991841
1656293168,5317.6905655683595
1656293169,5318.813759660643
1656293170,5319.366566283925
1656293171,5319.340038453438
1656293172,5318.7252291844225
1656293173,5317.513191492104
1656293174,5315.6949783917225
1656293175,5313.26164289851
1656293176,5310.2042380277035
1656293177,5306.516505766964
1656293178,5302.203468715776
1656293179,5297.2743406975305
1656293180,5291.737472182783
1656293181,5285.604970187901
1656293182,5278.891377371374
1656293183,5271.611595684084
1656293184,5263.7805270769
1656293185,5255.413073500708
1656293186,5246.5241369063815
1656293187,5237.128619244798
1656293188,5227.241422466833
1656293189,5216.877448523365
1656293190,5206.051599365273
1656293191,5194.778776943434
1656293192,5183.073883208723
1656293193,5170.951820112017
1656293194,5158.427489604195
1656293195,5145.5157936361375
1656293196,5132.2316341587175
1656293197,5118.589913122812
1656293198,5104.6055324793
1656293199,5090.293394179058
1656293200,5075.668400172962
1656293201,5060.745452411894
1656293202,5045.539452846725
1656293203,5030.065303428337
1656293204,5014.337906107606
1656293205,4998.372162835409
1656293206,4982.182975562622
1656293207,4965.785246240123
1656293208,4949.193876818793
1656293209,4932.4237692495035
1656293210,4915.489825483135
1656293211,4898.406947470565
1656293212,4881.190037162667
1656293213,4863.8539965103255
1656293214,4846.413727464412
1656293215,4828.884131975803
1656293216,4811.280111995382
1656293217,4793.6208368691005
1656293218,4775.9435866049025
1656293219,4758.294607352962
1656293220,4740.723645312665
1656293221,4723.282266245369
1656293222,4706.021724344455
1656293223,4688.990742389954
1656293224,4672.233739642046
1656293225,4655.780452694869
1656293226,4639.656947476036
1656293227,4623.889289913165
1656293228,4608.503545933874
1656293229,4593.525781465782
1656293230,4578.982062436506
1656293231,4564.898454773662
1656293232,4551.301024404868
1656293233,4538.215837257745
1656293234,4525.668959259908
1656293235,4513.686456338974
1656293236,4502.294394422561
1656293237,4491.518839438287
1656293238,4481.38585731377
1656293239,4471.921513976629
1656293240,4463.15187535448
1656293241,4455.103007374941
1656293242,4447.80097596563
1656293243,4441.271847054164
1656293244,4435.541686568159
1656293245,4430.636560435239
1656293246,4426.582534583014
1656293247,4423.405674939107
1656293248,4421.132047431133
1656293249,4419.787717986709
1656293250,4419.398752533456
1656293251,4419.99121699899
1656293252,4421.591177310927
1656293253,4424.2246993968865
1656293254,4427.917849184486
1656293255,4432.696692601341
1656293256,4438.587295575075
1656293257,4445.6157240333
1656293258,4453.808043903635
1656293259,4463.190321113698
1656293260,4473.782305974864
1656293261,4485.577379806774
1656293262,4498.555118348875
1656293263,4512.681735386363
1656293264,4527.920380847555
1656293265,4544.234204660768
1656293266,4561.586356754324
1656293267,4579.934306616172
1656293268,4599.212801972824
1656293269,4619.350910110417
1656293270,4640.277698315094
1656293271,4661.9222338730015
1656293272,4684.213584070273
1656293273,4707.080816193057
1656293274,4730.452997527495
1656293275,4754.259195359726
1656293276,4778.428476975894
1656293277,4802.889909662142
1656293278,4827.57256070461
1656293279,4852.40549738944
1656293280,4877.317787002775
1656293281,4902.238496830757
1656293282,4927.096694159529
1656293283,4951.821446275231
1656293284,4976.341820464005
1656293285,5000.586884011995
1656293286,5024.48570420534
1656293287,5047.967348330185
1656293288,5070.960883672672
1656293289,5093.39537751894
1656293290,5115.199897155134
1656293291,5136.303509867395
1656293292,5156.635282941864
1656293293,5176.124283664683
1656293294,5194.699579321997
1656293295,5212.290237199944
1656293296,5228.82532458467
1656293297,5244.233908762313
1656293298,5258.4450570190165
1656293299,5271.387836640926
1656293300,5282.99239388841
1656293301,5293.19319091878
1656293302,5301.926020971471
1656293303,5309.134463359178
1656293304,5314.788407645712
1656293305,5318.859912958325
1656293306,5321.318392462831
1656293307,5322.13286094053
1656293308,5321.272333172728
1656293309,5318.705823940724
1656293310,5314.402348025824
1656293311,5308.3309202093305
1656293312,5300.460555272549
1656293313,5290.760267996779
1656293314,5279.199073163325
1656293315,5265.745985553491
1656293316,5250.370019948579
1656293317,5233.040191129893
1656293318,5213.725513878739
1656293319,5192.395002976415
1656293320,5169.017673204228
1656293321,5143.562539343478
1656293322,5115.99861617547
1656293323,5086.29491848151
1656293324,5054.420461042896
1656293325,5020.344258640935
1656293326,4984.035326056931
1656293327,4945.462678072185
1656293328,4904.5953294679975
1656293329,4861.402295025674
1656293330,4815.85258952652
1656293331,4767.915227751841
1656293332,4717.559224482931
1656293333,4664.7535945011
1656293334,4609.477321777663
1656293335,4551.749267043988
1656293336,4491.598260221458
1656293337,4429.053131231452
1656293338,4364.14270999535
1656293339,4296.895826434537
1656293340,4227.352396950655
1656293341,4155.600336029381
1656293342,4081.7532532886526
1656293343,4005.9284105094043
1656293344,3928.2430694725745
1656293345,3848.8144919590923
1656293346,3767.7599397499025
1656293347,3685.19667462593
