epoch,if_errors_rx
1656293029,0.0
1656293030,0.0
1656293031,0.0
1656293032,0.0
1656293033,0.0
1656293034,0.0
1656293035,0.0
1656293036,0.0
1656293037,0.0
1656293038,0.0
1656293039,0.0
1656293040,0.0
1656293041,0.0
1656293042,0.0
1656293043,0.0
1656293044,0.0
1656293045,0.0
1656293046,0.0
1656293047,0.0
1656293048,0.0
1656293049,0.0
1656293050,0.0
1656293051,0.0
1656293052,0.0
1656293053,0.0
1656293054,0.0
1656293055,0.0
1656293056,0.0
1656293057,0.0
1656293058,0.0
1656293059,0.0
1656293060,0.0
1656293061,0.0
1656293062,0.0
1656293063,0.0
1656293064,0.0
1656293065,0.0
1656293066,0.0
1656293067,0.0
1656293068,0.0
1656293069,0.0
1656293070,0.0
1656293071,0.0
1656293072,0.0
1656293073,0.0
1656293074,0.0
1656293075,0.0
1656293076,0.0
1656293077,0.0
1656293078,0.0
1656293079,0.0
1656293080,0.0
1656293081,0.0
1656293082,0.0
1656293083,0.0
1656293084,0.0
1656293085,0.0
1656293086,0.0
1656293087,0.0
1656293088,0.0
1656293089,0.0
1656293090,0.0
1656293091,0.0
1656293092,0.0
1656293093,0.0
1656293094,0.0
1656293095,0.0
1656293096,0.0
1656293097,0.0
1656293098,0.0
1656293099,0.0
1656293100,0.0
1656293101,0.0
1656293102,0.0
1656293103,0.0
1656293104,0.0
1656293105,0.0
1656293106,0.0
1656293107,0.0
1656293108,0.0
1656293109,0.0
1656293110,0.0
1656293111,0.0
1656293112,0.0
1656293113,0.0
1656293114,0.0
1656293115,0.0
1656293116,0.0
1656293117,0.0
1656293118,0.0
1656293119,0.0
1656293120,0.0
1656293121,0.0
1656293122,0.0
1656293123,0.0
1656293124,0.0
1656293125,0.0
1656293126,0.0
1656293127,0.0
1656293128,0.0
1656293129,0.0
1656293130,0.0
1656293131,0.0
1656293132,0.0
1656293133,0.0
1656293134,0.0
1656293135,0.0
1656293136,0.0
1656293137,0.0
1656293138,0.0
1656293139,0.0
1656293140,0.0
1656293141,0.0
1656293142,0.0
1656293143,0.0
1656293144,0.0
1656293145,0.0
1656293146,0.0
1656293147,0.0
1656293148,0.0
1656293149,0.0
1656293150,0.0
1656293151,0.0
1656293152,0.0
1656293153,0.0
1656293154,0.0
1656293155,0.0
1656293156,0.0
1656293157,0.0
1656293158,0.0
1656293159,0.0
1656293160,0.0
1656293161,0.0
1656293162,0.0
1656293163,0.0
1656293164,0.0
1656293165,0.0
1656293166,0.0
1656293167,0.0
1656293168,0.0
1656293169,0.0
1656293170,0.0
1656293171,0.0
1656293172,0.0
1656293173,0.0
1656293174,0.0
1656293175,0.0
1656293176,0.0
1656293177,0.0
1656293178,0.0
1656293179,0.0
1656293180,0.0
1656293181,0.0
1656293182,0.0
1656293183,0.0
1656293184,0.0
1656293185,0.0
1656293186,0.0
1656293187,0.0
1656293188,0.0
1656293189,0.0
1656293190,0.0
1656293191,0.0
1656293192,0.0
1656293193,0.0
1656293194,0.0
1656293195,0.0
1656293196,0.0
1656293197,0.0
1656293198,0.0
1656293199,0.0
1656293200,0.0
1656293201,0.0
1656293202,0.0
1656293203,0.0
1656293204,0.0
1656293205,0.0
1656293206,0.0
1656293207,0.0
1656293208,0.0
1656293209,0.0
1656293210,0.0
1656293211,0.0
1656293212,0.0
1656293213,0.0
1656293214,0.0
1656293215,0.0
1656293216,0.0
1656293217,0.0
1656293218,0.0
1656293219,0.0
1656293220,0.0
1656293221,0.0
1656293222,0.0
1656293223,0.0
1656293224,0.0
1656293225,0.0
1656293226,0.0
1656293227,0.0
1656293228,0.0
1656293229,0.0
1656293230,0.0
1656293231,0.0
1656293232,0.0
1656293233,0.0
1656293234,0.0
1656293235,0.0
1656293236,0.0
1656293237,0.0
1656293238,0.0
1656293239,0.0
1656293240,0.0
1656293241,0.0
1656293242,0.0
1656293243,0.0
1656293244,0.0
1656293245,0.0
1656293246,0.0
1656293247,0.0
1656293248,0.0
1656293249,0.0
1656293250,0.0
1656293251,0.0
1656293252,0.0
1656293253,0.0
1656293254,0.0
1656293255,0.0
1656293256,0.0
1656293257,0.0
1656293258,0.0
1656293259,0.0
1656293260,0.0
1656293261,0.0
1656293262,0.0
1656293263,0.0
1656293264,0.0
1656293265,0.0
1656293266,0.0
1656293267,0.0
1656293268,0.0
1656293269,0.0
1656293270,0.0
1656293271,0.0
1656293272,0.0
1656293273,0.0
1656293274,0.0
1656293275,0.0
1656293276,0.0
1656293277,0.0
1656293278,0.0
1656293279,0.0
1656293280,0.0
1656293281,0.0
1656293282,0.0
1656293283,0.0
1656293284,0.0
1656293285,0.0
1656293286,0.0
1656293287,0.0
1656293288,0.0
1656293289,0.0
1656293290,0.0
1656293291,0.0
1656293292,0.0
1656293293,0.0
1656293294,0.0
1656293295,0.0
1656293296,0.0
1656293297,0.0
1656293298,0.0
1656293299,0.0
1656293300,0.0
1656293301,0.0
1656293302,0.0
1656293303,0.0
1656293304,0.0
1656293305,0.0
1656293306,0.0
1656293307,0.0
1656293308,0.0
1656293309,0.0
1656293310,0.0
1656293311,0.0
1656293312,0.0
1656293313,0.0
1656293314,0.0
1656293315,0.0
1656293316,0.0
1656293317,0.0
1656293318,0.0
1656293319,0.0
1656293320,0.0
1656293321,0.0
1656293322,0.0
1656293323,0.0
1656293324,0.0
1656293325,0.0
1656293326,0.0
1656293327,0.0
1656293328,0.0
1656293329,0.0
1656293330,0.0
1656293331,0.0
1656293332,0.0
1656293333,0.0
1656293334,0.0
1656293335,0.0
1656293336,0.0
1656293337,0.0
1656293338,0.0
1656293339,0.0
1656293340,0.0
1656293341,0.0
1656293342,0.0
1656293343,0.0
1656293344,0.0
1656293345,0.0
1656293346,0.0
1656293347,0.0
1656293348,0.0
1656293349,0.0
1656293350,0.0
1656293351,0.0
1656293352,0.0
1656293353,0.0
1656293354,0.0
1656293355,0.0
1656293356,0.0
1656293357,0.0
1656293358,0.0
1656293359,0.0
1656293360,0.0
1656293361,0.0
1656293362,0.0
1656293363,0.0
1656293364,0.0
1656293365,0.0
1656293366,0.0
1656293367,0.0
1656293368,0.0
1656293369,0.0
1656293370,0.0
1656293371,0.0
1656293372,0.0
1656293373,0.0
1656293374,0.0
1656293375,0.0
1656293376,0.0
1656293377,0.0
1656293378,0.0
1656293379,0.0
