epoch,if_dropped_rx
1656293034,94.0
1656293035,94.0
1656293036,94.0
1656293037,94.0
1656293038,94.0
1656293039,94.0
1656293040,94.0
1656293041,94.0
1656293042,94.0
1656293043,94.0
1656293044,94.0
1656293045,94.0
1656293046,94.0
1656293047,94.0
1656293048,94.0
1656293049,94.0
1656293050,94.0
1656293051,94.0
1656293052,94.0
1656293053,94.0
1656293054,94.0
1656293055,94.0
1656293056,94.0
1656293057,94.0
1656293058,94.0
1656293059,94.0
1656293060,94.0
1656293061,94.0
1656293062,94.0
1656293063,94.0
1656293064,94.0
1656293065,94.0
1656293066,94.0
1656293067,94.0
1656293068,94.0
1656293069,94.0
1656293070,94.0
1656293071,94.0
1656293072,94.0
1656293073,94.0
1656293074,94.0
1656293075,94.0
1656293076,94.0
1656293077,94.0
1656293078,94.0
1656293079,94.0
1656293080,94.0
1656293081,94.0
1656293082,94.0
1656293083,94.0
1656293084,94.0
1656293085,94.0
1656293086,94.0
1656293087,94.0
1656293088,94.0
1656293089,94.0
1656293090,94.0
1656293091,94.0
1656293092,94.0
1656293093,94.0
1656293094,94.0
1656293095,94.0
1656293096,94.0
1656293097,94.0
1656293098,94.0
1656293099,94.0
1656293100,94.0
1656293101,94.0
1656293102,94.0
1656293103,94.0
1656293104,94.0
1656293105,94.0
1656293106,94.0
1656293107,94.0
1656293108,94.0
1656293109,94.0
1656293110,94.0
1656293111,94.0
1656293112,94.0
1656293113,94.0
1656293114,94.0
1656293115,94.0
1656293116,94.0
1656293117,94.0
1656293118,94.0
1656293119,94.0
1656293120,94.0
1656293121,94.0
1656293122,94.0
1656293123,94.0
1656293124,94.0
1656293125,94.0
1656293126,94.0
1656293127,94.0
1656293128,94.0
1656293129,94.0
1656293130,94.0
1656293131,94.0
1656293132,94.0
1656293133,94.0
1656293134,94.0
1656293135,94.0
1656293136,94.0
1656293137,94.0
1656293138,94.0
1656293139,94.0
1656293140,94.0
1656293141,94.0
1656293142,94.0
1656293143,94.0
1656293144,94.0
1656293145,94.0
1656293146,94.0
1656293147,94.0
1656293148,94.0
1656293149,94.0
1656293150,94.0
1656293151,94.0
1656293152,94.0
1656293153,94.0
1656293154,94.0
1656293155,94.0
1656293156,94.0
1656293157,94.0
1656293158,94.0
1656293159,177.11503481671463
1656293160,177.11503481671463
1656293161,177.11503481671463
1656293162,177.11503481671463
1656293163,177.11503481671463
1656293164,177.11503481671463
1656293165,177.11503481671463
1656293166,177.11503481671463
1656293167,177.11503481671463
1656293168,177.11503481671463
1656293169,177.11503481671463
1656293170,177.11503481671463
1656293171,177.11503481671463
1656293172,177.11503481671463
1656293173,177.11503481671463
1656293174,177.11503481671463
1656293175,177.11503481671463
1656293176,177.11503481671463
1656293177,177.11503481671463
1656293178,177.11503481671463
1656293179,177.11503481671463
1656293180,177.11503481671463
1656293181,177.11503481671463
1656293182,177.11503481671463
1656293183,177.11503481671463
1656293184,177.11503481671463
1656293185,177.11503481671463
1656293186,177.11503481671463
1656293187,177.11503481671463
1656293188,177.11503481671463
1656293189,177.11503481671463
1656293190,177.11503481671463
1656293191,177.11503481671463
1656293192,177.11503481671463
1656293193,177.11503481671463
1656293194,177.11503481671463
1656293195,177.11503481671463
1656293196,177.11503481671463
1656293197,177.11503481671463
1656293198,177.11503481671463
1656293199,177.11503481671463
1656293200,177.11503481671463
1656293201,177.11503481671463
1656293202,177.11503481671463
1656293203,177.11503481671463
1656293204,177.11503481671463
1656293205,177.11503481671463
1656293206,177.11503481671463
1656293207,177.11503481671463
1656293208,177.11503481671463
1656293209,177.11503481671463
1656293210,177.11503481671463
1656293211,177.11503481671463
1656293212,177.11503481671463
1656293213,177.11503481671463
1656293214,177.11503481671463
1656293215,177.11503481671463
1656293216,177.11503481671463
1656293217,177.11503481671463
1656293218,177.11503481671463
1656293219,177.11503481671463
1656293220,177.11503481671463
1656293221,177.11503481671463
1656293222,177.11503481671463
1656293223,177.11503481671463
1656293224,177.11503481671463
1656293225,177.11503481671463
1656293226,177.11503481671463
1656293227,177.11503481671463
1656293228,177.11503481671463
1656293229,177.11503481671463
1656293230,177.11503481671463
1656293231,177.11503481671463
1656293232,177.11503481671463
1656293233,177.11503481671463
1656293234,177.11503481671463
1656293235,177.11503481671463
1656293236,177.11503481671463
1656293237,177.11503481671463
1656293238,177.11503481671463
1656293239,177.11503481671463
1656293240,177.11503481671463
1656293241,177.11503481671463
1656293242,177.11503481671463
1656293243,177.11503481671463
1656293244,177.11503481671463
1656293245,177.11503481671463
1656293246,177.11503481671463
1656293247,177.11503481671463
1656293248,177.11503481671463
1656293249,177.11503481671463
1656293250,177.11503481671463
1656293251,177.11503481671463
1656293252,177.11503481671463
1656293253,177.11503481671463
1656293254,177.11503481671463
1656293255,177.11503481671463
1656293256,177.11503481671463
1656293257,177.11503481671463
1656293258,177.11503481671463
1656293259,177.11503481671463
1656293260,177.11503481671463
1656293261,177.11503481671463
1656293262,177.11503481671463
1656293263,177.11503481671463
1656293264,177.11503481671463
1656293265,177.11503481671463
1656293266,177.11503481671463
1656293267,177.11503481671463
1656293268,177.11503481671463
1656293269,177.11503481671463
1656293270,177.11503481671463
1656293271,177.11503481671463
1656293272,177.11503481671463
1656293273,177.11503481671463
1656293274,177.11503481671463
1656293275,177.11503481671463
1656293276,177.11503481671463
1656293277,177.11503481671463
1656293278,177.11503481671463
1656293279,177.11503481671463
1656293280,177.11503481671463
1656293281,177.11503481671463
1656293282,177.11503481671463
1656293283,177.11503481671463
1656293284,177.11503481671463
1656293285,177.11503481671463
1656293286,177.11503481671463
1656293287,177.11503481671463
1656293288,177.11503481671463
1656293289,177.11503481671463
1656293290,177.11503481671463
1656293291,177.11503481671463
1656293292,177.11503481671463
1656293293,177.11503481671463
1656293294,177.11503481671463
1656293295,177.11503481671463
1656293296,177.11503481671463
1656293297,177.11503481671463
1656293298,177.11503481671463
1656293299,177.11503481671463
1656293300,177.11503481671463
1656293301,177.11503481671463
1656293302,177.11503481671463
1656293303,177.11503481671463
1656293304,177.11503481671463
1656293305,177.11503481671463
