epoch,memory-free
1656293034,66104943091.159904
1656293035,66217102593.11124
1656293036,66329200605.171974
1656293037,66441245069.31252
1656293038,66553243927.50332
1656293039,66665205121.71485
1656293040,66777136593.9175
1656293041,66889046286.081726
1656293042,67000942140.17796
1656293043,67112832098.17665
1656293044,67224724102.04822
1656293045,67336623873.87264
1656293046,67448528256.16817
1656293047,67560431871.56244
1656293048,67672329342.68326
1656293049,67784215292.158356
1656293050,67896084342.615456
1656293051,68007931116.68231
1656293052,68119750236.986626
1656293053,68231536326.15617
1656293054,68343284006.818695
1656293055,68454987901.60189
1656293056,68566642633.13353
1656293057,68678242824.0413
1656293058,68789783096.95299
1656293059,68901258074.49637
1656293060,69012662379.29907
1656293061,69123990633.98894
1656293062,69235237461.1936
1656293063,69346397483.54091
1656293064,69457465323.65854
1656293065,69568435604.17424
1656293066,69679302947.71573
1656293067,69790061976.91077
1656293068,69900707314.38707
1656293069,70011233582.77242
1656293070,70121635404.69449
1656293071,70231907402.78107
1656293072,70342044199.65987
1656293073,70452040417.95866
1656293074,70561890680.30513
1656293075,70671589609.32707
1656293076,70781131827.65213
1656293077,70890511957.90816
1656293078,70999724622.72284
1656293079,71108764444.72389
1656293080,71217626046.53908
1656293081,71326304050.79613
1656293082,71434793080.12277
1656293083,71543087757.14674
1656293084,71651182704.49583
1656293085,71759072544.7977
1656293086,71866751900.68015
1656293087,71974215394.77086
1656293088,72081457649.69763
1656293089,72188473288.08813
1656293090,72295256932.57013
1656293091,72401803205.7714
1656293092,72508106730.31964
1656293093,72614162128.84256
1656293094,72719964023.96796
1656293095,72825507038.32355
1656293096,72930785794.53705
1656293097,73035794915.23622
1656293098,73140529023.0488
1656293099,73244982740.60252
1656293100,73349150690.52509
1656293101,73453027495.44429
1656293102,73556607777.98784
1656293103,73659886160.78346
1656293104,73762857266.45891
1656293105,73865515717.64195
1656293106,73967856136.96024
1656293107,74069873147.0416
1656293108,74171561370.51372
1656293109,74272915430.00435
1656293110,74373929948.14125
1656293111,74474599547.55211
1656293112,74574918850.86472
1656293113,74674882480.70676
1656293114,74774485059.70602
1656293115,74873721210.49022
1656293116,74972585555.68706
1656293117,75071072717.92435
1656293118,75169177319.82973
1656293119,75266893984.03107
1656293120,75364217333.15598
1656293121,75461141989.83228
1656293122,75557662576.68765
1656293123,75653773716.34984
1656293124,75749470031.44664
1656293125,75844746144.60573
1656293126,75939596678.45486
1656293127,76034016255.62178
1656293128,76127999498.73422
1656293129,76221541030.41994
1656293130,76314635473.30664
1656293131,76407277450.02205
1656293132,76499461583.19397
1656293133,76591182495.45009
1656293134,76682434809.41812
1656293135,76773213147.72585
1656293136,76863512133.00099
1656293137,76953326387.87132
1656293138,77042650534.96452
1656293139,77131479196.90836
1656293140,77219806996.33057
1656293141,77307628555.85886
1656293142,77394938498.12103
1656293143,77481731445.74478
1656293144,77568002021.35782
1656293145,77653744847.58795
1656293146,77738954547.06285
1656293147,77823625742.41025
1656293148,77907753056.25797
1656293149,77991331111.23367
1656293150,78074354529.96512
1656293151,78156817935.08008
1656293152,78238715949.20619
1656293153,78320043194.9713
1656293154,78400794295.00308
1656293155,78480963871.92934
1656293156,78560546548.3777
1656293157,78639536946.97601
1656293158,78717929690.35194
1656293159,78795719401.13326
1656293160,78872900701.9477
1656293161,78949468215.42294
1656293162,79025416564.18684
1656293163,79100740370.86702
1656293164,79175434258.09131
1656293165,79249492848.48737
1656293166,79322910764.68298
1656293167,79395682629.30586
1656293168,79467803064.9838
1656293169,79539266694.34444
1656293170,79610068140.01561
1656293171,79680202024.62497
1656293172,79749662970.80028
1656293173,79818445601.16931
1656293174,79886544538.35979
1656293175,79953954404.99944
1656293176,80020669823.71603
1656293177,80086685417.13722
1656293178,80151995807.89084
1656293179,80216595618.60457
1656293180,80280479471.90616
1656293181,80343641990.42336
1656293182,80406077796.7839
1656293183,80467781513.61551
1656293184,80528744755.2033
1656293185,80588947102.46182
1656293186,80648365127.96298
1656293187,80706975404.27881
1656293188,80764754503.98111
1656293189,80821678999.64188
1656293190,80877725463.83298
1656293191,80932870469.1264
1656293192,80987090588.09407
1656293193,81040362393.30792
1656293194,81092662457.33984
1656293195,81143967352.76172
1656293196,81194253652.1456
1656293197,81243497928.0633
1656293198,81291676753.08682
1656293199,81338766699.78802
1656293200,81384744340.73892
1656293201,81429586248.51135
1656293202,81473268995.67734
1656293203,81515769154.80869
1656293204,81557063298.4774
1656293205,81597127999.25543
1656293206,81635939829.71466
1656293207,81673475362.42702
1656293208,81709711169.96443
1656293209,81744623824.89886
1656293210,81778189899.80219
1656293211,81810385967.24638
1656293212,81841188599.80331
1656293213,81870574370.04498
1656293214,81898519850.54324
1656293215,81925001613.87009
1656293216,81949996232.59737
1656293217,81973480279.29707
1656293218,81995430326.54114
1656293219,82015822946.90146
1656293220,82034634712.94992
1656293221,82051842197.25853
1656293222,82067421972.39922
1656293223,82081350610.94386
1656293224,82093604685.46437
1656293225,82104160768.53273
1656293226,82112995432.72083
1656293227,82120085250.60062
1656293228,82125406794.744
1656293229,82128936637.72293
1656293230,82130651352.1093
1656293231,82130527510.47508
1656293232,82128541685.39214
1656293233,82124670449.43246
1656293234,82118890375.16794
1656293235,82111178035.17056
1656293236,82101510002.01216
1656293237,82089862848.26472
1656293238,82076213146.50015
1656293239,82060537469.29039
1656293240,82042812389.20734
1656293241,82023014478.82298
1656293242,82001120310.7092
1656293243,81977106457.43793
1656293244,81950949491.5811
1656293245,81922625985.71065
1656293246,81892112512.39848
1656293247,81859384750.01569
1656293248,81824412628.36395
1656293249,81787155362.88603
1656293250,81747566522.014
1656293251,81705605037.05518
1656293252,81661239966.24207
1656293253,81614442635.25609
1656293254,81565184369.77855
1656293255,81513436495.49086
1656293256,81459170338.07434
1656293257,81402357223.21037
1656293258,81342968476.58041
1656293259,81280979206.36938
1656293260,81216379650.7771
1656293261,81149163830.507
1656293262,81079325766.26256
1656293263,81006859478.74718
1656293264,80931758988.66429
1656293265,80854018316.71744
1656293266,80773631483.60997
1656293267,80690592510.04538
1656293268,80604895416.7271
1656293269,80516534224.35852
1656293270,80425502953.6432
1656293271,80331795625.28448
1656293272,80235406259.98589
1656293273,80136328878.45079
1656293274,80034557501.38264
1656293275,79930086149.48502
1656293276,79822908843.46118
1656293277,79713019604.0147
1656293278,79600412451.84894
1656293279,79485081407.66742
1656293280,79367020492.17351
1656293281,79246223726.07072
1656293282,79122685130.06248
1656293283,78996398724.85219
1656293284,78867358531.14339
1656293285,78735558569.63943
1656293286,78600992861.0438
1656293287,78463655426.05994
1656293288,78323540285.39128
1656293289,78180641459.74127
1656293290,78034952969.81335
1656293291,77886468836.31104
1656293292,77735183079.93767
1656293293,77581089721.39676
1656293294,77424182781.39172
1656293295,77264456280.62598
1656293296,77101904239.80307
1656293297,76936520679.62637
1656293298,76768299620.79933
1656293299,76597235084.02536
1656293300,76423321090.008
1656293301,76246551659.45062
1656293302,76066920813.05667
1656293303,75884422571.52965
1656293304,75699050955.57292
1656293305,75510799985.89
1656293306,75319663683.18428
1656293307,75125636068.15924
1656293308,74928711161.51834
1656293309,74728882983.965
1656293310,74526145556.20267
1656293311,74320492898.93477
1656293312,74111919032.86478
1656293313,73900417978.69614
1656293314,73685983757.13228
1656293315,73468610388.87666
1656293316,73248291894.6327
1656293317,73025022295.10388
1656293318,72798795610.99367
1656293319,72569605863.0054
1656293320,72337447071.84262
1656293321,72102313258.20877
1656293322,71864198442.80724
1656293323,71623096646.34152
1656293324,71379001889.51506
1656293325,71131908193.03123
