epoch,if_octets_tx
1656293034,641922142332.5
1656293035,641923608804.5
1656293036,641925075277.0
1656293037,641926541749.0
1656293038,641928008221.5
1656293039,641929474693.5
1656293040,641930941165.5
1656293041,641932407638.0
1656293042,641933874110.0
1656293043,641935340582.5
1656293044,641936807054.5
1656293045,641938273527.0
1656293046,641939739999.0
1656293047,641941206471.0
1656293048,641942672943.5
1656293049,641944139415.5
1656293050,641945605888.0
1656293051,641947072360.0
1656293052,641948538832.5
1656293053,641950005304.5
1656293054,641951471776.5
1656293055,641952938249.0
1656293056,641954404721.0
1656293057,641955871193.5
1656293058,641957337665.5
1656293059,641958804138.0
1656293060,641960270610.0
1656293061,641961737082.0
1656293062,641963203554.5
1656293063,641964670026.5
1656293064,641966136499.0
1656293065,641967602971.0
1656293066,641969069443.5
1656293067,641970535915.5
1656293068,641972002387.5
1656293069,641973468860.0
1656293070,641974935332.0
1656293071,641976401804.5
1656293072,641977868276.5
1656293073,641979334748.5
1656293074,641980801221.0
1656293075,641982267693.0
1656293076,641983734165.5
1656293077,641985200637.5
1656293078,641986667110.0
1656293079,641988133582.0
1656293080,641989600054.0
1656293081,641991066526.5
1656293082,641992532998.5
1656293083,641993999471.0
1656293084,641995465943.0
1656293085,641996932415.5
1656293086,641998398887.5
1656293087,641999865359.5
1656293088,642001331832.0
1656293089,642002798304.0
1656293090,642004264776.5
1656293091,642005731248.5
1656293092,642007197721.0
1656293093,642008664193.0
1656293094,642010130665.0
1656293095,642011597137.5
1656293096,642013063609.5
1656293097,642014530082.0
1656293098,642015996554.0
1656293099,642017463026.5
1656293100,642018929498.5
1656293101,642020395970.5
1656293102,642021862443.0
1656293103,642023328915.0
1656293104,642024795387.5
1656293105,642026261859.5
1656293106,642027728331.5
1656293107,642029194804.0
1656293108,642030661276.0
1656293109,642032127748.5
1656293110,642033594220.5
1656293111,642035060693.0
1656293112,642036527165.0
1656293113,642037993637.0
1656293114,642039460109.5
1656293115,642040926581.5
1656293116,642042393054.0
1656293117,642043859526.0
1656293118,642045325998.5
1656293119,642046792470.5
1656293120,642048258942.5
1656293121,642049725415.0
1656293122,642051191887.0
1656293123,642052658359.5
